model_name,iou,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,method,vocab_size,output_tokens,ar_coeff,data_gen_type
simulation,0.0,0.0,0.0,0.0,0.0,,0.7426621659318637,0.4188376753507014,0.9155030060120241,0.4895820296593187,0.1693386773547094,0.6624448897795592,9.444200240009195e-05,3.898227478771333e-05,0.00018038437512473123,0.7358,0.031,0.2332,WISER,1000,500,0.6000000000000001,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.011311147797801414,0.010581535099976235,0.012536325324828112,0.0,1.0,0.0,Aligator,1000,500,0.6000000000000001,inverse
simulation,0.6746244146704797,0.0,0.984251968503937,0.6923,0.7754,0.7314974722354705,0.8800119631262525,0.4188376753507014,0.9856993987975952,0.8140288176352706,0.1693386773547094,0.9856513026052104,0.07911384354820257,0.06792907394999474,0.0894705840498716,0.1662,0.06,0.7738,SeedBS_NOT,1000,500,0.6000000000000001,inverse
simulation,0.0004045074188554362,0.0,0.006211663860993395,0.0349,0.039,0.0368362652232747,0.5895041555110222,0.4188376753507014,0.8251943887775551,0.3327569587174348,0.1693386773547094,0.5588857715430862,0.0007277133456006595,0.0006025809252605541,0.001108794774734178,0.0212,0.4984,0.4804,Waterseeker,1000,500,0.6000000000000001,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.7424482773547094,0.4188376753507014,0.9155751503006012,0.4893342268537074,0.1693386773547094,0.6628655310621241,9.894040260032852e-05,4.070799991495733e-05,0.00019359962504381632,0.7354,0.0322,0.2324,WISER,1000,500,0.7000000000000001,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.0115356850374008,0.010858352074995992,0.012668002800063504,0.0,1.0,0.0,Aligator,1000,500,0.7000000000000001,inverse
simulation,0.6750735720847407,0.0,0.984251968503937,0.6949,0.7758,0.7331249337050385,0.8800310589178358,0.4188376753507014,0.9856993987975952,0.8140447855711422,0.1693386773547094,0.9856513026052104,0.07919870871260273,0.06801324655021972,0.08957453437494678,0.1618,0.0594,0.7788,SeedBS_NOT,1000,500,0.7000000000000001,inverse
simulation,0.0005090335303130344,0.0,0.008197282730743312,0.0376,0.0414,0.03940860759493671,0.588635238476954,0.4188376753507014,0.8251943887775551,0.3319467911823647,0.1693386773547094,0.5587450901803607,0.000744347723795272,0.0006119149247979294,0.0011734985748034883,0.0158,0.4958,0.4884,Waterseeker,1000,500,0.7000000000000001,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.740219421242485,0.4188376753507014,0.9167897795591179,0.4870537875751503,0.1693386773547094,0.6633266533066132,0.00010077141279907665,3.733197513042796e-05,0.00020821834999082954,0.7396,0.0372,0.2232,WISER,1000,500,0.8,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.011556160758799297,0.010694931249940965,0.012808487174845593,0.0,1.0,0.0,Aligator,1000,500,0.8,inverse
simulation,0.6748070395445847,0.0,0.984251968503937,0.6953,0.779,0.7347740622668386,0.8792932521042083,0.4188376753507014,0.9856993987975952,0.8134975647294589,0.1693386773547094,0.9856513026052104,0.07911304102699987,0.06785558470007799,0.08987547467514787,0.1674,0.06,0.7726,SeedBS_NOT,1000,500,0.8,inverse
simulation,0.00038239312749954816,0.0,0.006230529595015576,0.0343,0.0382,0.03614510344827586,0.5913708521042085,0.4188376753507014,0.8243927855711423,0.33442558076152307,0.1693386773547094,0.5580959919839679,0.0007293481200003953,0.0006092878998288142,0.0011204565750404067,0.0192,0.487,0.4938,Waterseeker,1000,500,0.8,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.7428309226452906,0.4188376753507014,0.9154068136272545,0.4896802517034068,0.1693386773547094,0.6618677354709419,9.792988459980734e-05,3.782675007641956e-05,0.00017276040005071976,0.7438,0.0336,0.2226,WISER,1000,500,0.9,inverse
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.011353794874199548,0.010651648324835606,0.012578343349957777,0.0,1.0,0.0,Aligator,1000,500,0.9,inverse
simulation,0.6691581859819365,0.0,0.984251968503937,0.6862,0.7694,0.7254222039021709,0.879375591182365,0.4188376753507014,0.9856993987975952,0.8117683639278557,0.1693386773547094,0.9856513026052104,0.07923398503300182,0.06803821394989881,0.08965292220003673,0.1664,0.0612,0.7724,SeedBS_NOT,1000,500,0.9,inverse
simulation,0.0004432493766242988,0.0,0.006410771704180056,0.037,0.0414,0.03907653061224489,0.5926367919839679,0.4188376753507014,0.8252424849699399,0.33570601843687375,0.1693386773547094,0.5590380761523046,0.0007222235865992844,0.0005875357497302502,0.0011164295000071413,0.0208,0.4878,0.4914,Waterseeker,1000,500,0.9,inverse
