model_name,iou,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,method,vocab_size,output_tokens,ar_coeff,data_gen_type,gap
simulation,0.9292383257712244,0.9063444108761328,0.9434706267484068,0.99995,1.0,0.9999749993749844,0.9878589997998,0.9836856856856856,0.990472222222222,0.9877007631631632,0.9833913913913914,0.9903823823823822,0.0233890875143944,0.0217332576001354,0.0256391878250042,0.0002,0.0,0.9998,Aligator,1000,1000,1.0,gumbel,140
simulation,0.787801799399338,0.0664451827242525,0.9801980198019802,0.8974366666666667,0.9250666666666668,0.9110422248275114,0.9777313617617618,0.5126546546546547,0.9968588588588588,0.9689404584584584,0.4865085085085085,0.9968588588588588,0.2436156528599996,0.234912755924779,0.256948221224843,0.24,0.0296,0.7304,SeedBS_NOT,1000,1000,1.0,gumbel,140
simulation,0.946372239747634,0.946372239747634,0.946372239747634,1.0,1.0,1.0,0.9909389389389388,0.9909389389389388,0.9909389389389388,0.9908548548548548,0.9908548548548548,0.9908548548548548,0.0069232507694065,0.0063746649252607,0.0077434409497527,0.0,0.0,1.0,Waterseeker,1000,1000,1.0,gumbel,140
simulation,0.99,0.99,0.99,1.0,1.0,1.0,0.998404404404404,0.9984044044044044,0.9984044044044044,0.998404404404404,0.9984044044044044,0.9984044044044044,0.0001801723799981,0.0001428319497108,0.0003092510500891,0.0,0.0,1.0,WISER,1000,1000,1.0,gumbel,150
simulation,0.9249697192565448,0.9063444108761328,0.9404388714733544,0.99995,1.0,0.9999749993749844,0.9871977197197196,0.9836816816816816,0.990018018018018,0.9869935247247248,0.9833573573573574,0.989903903903904,0.0236200425530001,0.0218428343753885,0.02572574407518,0.0002,0.0,0.9998,Aligator,1000,1000,1.0,gumbel,150
simulation,0.7827145471087843,0.0996677740863787,0.9834437086092715,0.8901599999999998,0.9128,0.9013378533078936,0.9798203963963964,0.5118538538538538,0.9973133133133132,0.9683329913913914,0.4871991991991992,0.9973133133133132,0.24492465248641,0.2363426253250054,0.2583356635494965,0.236,0.0294,0.7346,SeedBS_NOT,1000,1000,1.0,gumbel,150
simulation,0.940438871473354,0.9404388714733544,0.9404388714733544,1.0,1.0,1.0,0.989893893893894,0.989893893893894,0.989893893893894,0.9897917917917916,0.9897917917917918,0.9897917917917918,0.007261984913605,0.0067584044992599,0.0081054697999888,0.0,0.0,1.0,Waterseeker,1000,1000,1.0,gumbel,150
simulation,0.99,0.99,0.99,1.0,1.0,1.0,0.9983843843843844,0.9983843843843844,0.9983843843843844,0.9983843843843844,0.9983843843843844,0.9983843843843844,0.0001832511346146,0.0001509989751866,0.0002838420001125,0.0,0.0,1.0,WISER,1000,1000,1.0,gumbel,160
simulation,0.9403910453420464,0.9202453987730062,0.9554140127388536,1.0,1.0,1.0,0.9898594522522522,0.9861881881881882,0.9925345345345346,0.9897494310310312,0.985983983983984,0.9924784784784784,0.0236227738234001,0.0217704489745756,0.0258498114748817,0.0,0.0,1.0,Aligator,1000,1000,1.0,gumbel,160
simulation,0.7302500353696446,0.132890365448505,0.9801980198019802,0.8543400000000001,0.9100666666666668,0.8813233033956647,0.9807098262262262,0.5122542542542543,0.9967787787787789,0.9640222346346344,0.4888908908908909,0.9967787787787789,0.245660025608599,0.2369772260496574,0.259266363524739,0.3546,0.0262,0.6192,SeedBS_NOT,1000,1000,1.0,gumbel,160
simulation,0.9433962264150944,0.9433962264150944,0.9433962264150944,1.0,1.0,1.0,0.9904324324324324,0.9904324324324324,0.9904324324324324,0.990342342342342,0.9903423423423424,0.9903423423423424,0.0072021806477978,0.00671105897502,0.0081204337246617,0.0,0.0,1.0,Waterseeker,1000,1000,1.0,gumbel,160
