model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,kdiff,vocab_size,output_tokens,seed,d
simulation 2B,0.9983819193447655,0.9987789987789988,0.9951338199513382,1.0,1.0,1.0,1.0,0.999093109294852,0.9993163585429897,0.9972711590131901,1.0,0.9990925542237876,0.9993163585429897,0.9972692507327797,1.0,0.00014392824601054598,0.00010603782498037617,0.000257782299968312,0.0,0.0,1.0,0.0,1000,2048,1234,3.0
simulation 2B,0.9985309501595443,0.9987789987789988,0.9963459196102314,1.0,1.0,1.0,1.0,0.9991768157765173,0.9993163585429897,0.9979519380495847,1.0,0.9991764276799888,0.9993163585429897,0.9979505068392769,1.0,0.00014854164399912407,0.00010404094932709995,0.00026435694899191715,0.0,0.0,1.0,0.0,1000,2048,1234,3.5
simulation 2B,0.9986026969382632,0.9987789987789988,0.9975278067431352,1.0,1.0,1.0,1.0,0.9992170432817077,0.9993163585429897,0.9986156976100696,1.0,0.9992166945434628,0.9993163585429897,0.998615220539967,1.0,0.0001446258125215536,0.0001067080011125654,0.0002558180497544525,0.0,0.0,1.0,0.0,1000,2048,1234,4.0
simulation 2B,0.9986513171898678,0.9987789987789988,0.9975609756097561,1.0,1.0,1.0,1.0,0.999244318095078,0.9993163585429897,0.9986336712261846,1.0,0.9992439913020577,0.9993163585429897,0.998633194156082,1.0,0.0001473471200233689,0.00010170897485295427,0.00026238230061608186,0.0,0.0,1.0,0.0,1000,2048,1234,4.5
simulation 2B,0.9986871503450063,0.9987789987789988,0.9975609756097561,1.0,1.0,1.0,1.0,0.9992644287467175,0.9993163585429897,0.9986336712261846,1.0,0.9992641181740808,0.9993163585429897,0.9986336712261846,1.0,0.00014443606149143308,0.00010328997541364515,0.00026644512558959816,0.0,0.0,1.0,0.0,1000,2048,1234,5.0
simulation 2B,0.7635722473091557,0.7873703477730324,0.42884606590053015,0.9774286817939468,0.28585476190476183,1.0,0.4446143847246319,0.84277859837645,0.84989989936279,0.7668892937032585,0.8849614919585622,0.830624788590316,0.841798842433608,0.7229988129817232,0.8821987054286858,0.0004506177474895594,0.0002446944754865399,0.0009178086751035152,0.993,0.0,0.007,3.021754457264852,1000,4096,1234,0.5
simulation 2B,0.9960993870215716,0.9975594874923734,0.9860891402270769,1.0,0.99975,1.0,0.9998749843730466,0.9977707501049297,0.9986335279304029,0.9918611385359432,1.0,0.9977668023003472,0.9986328125,0.9918310904590201,1.0,0.00017228340152723831,0.0001441659510419413,0.00023072362446328035,0.0005,0.0,0.9995,0.022360679774997897,1000,4096,1234,1.0
simulation 2B,0.9980829764724126,0.9987797437461867,0.9927228623408126,1.0,1.0,1.0,1.0,0.9989248592986874,0.9993165254884004,0.9959122453067766,1.0,0.9989239696013621,0.99931640625,0.9959056782518696,1.0,0.00019698721798522457,0.00014628892540713423,0.00034771945083775783,0.0,0.0,1.0,0.0,1000,4096,1234,1.5
simulation 2B,0.9987790558044569,0.9993898718730934,0.9957446808510638,1.0,1.0,1.0,1.0,0.999315652126736,0.9996581435057997,0.9976120125534188,1.0,0.9993154141268886,0.9996581435057997,0.997610101758051,1.0,0.00017239053950652306,0.000143625000373504,0.00022447187370744305,0.0,0.0,1.0,0.0,1000,4096,1234,2.0
simulation 2B,0.999080872241706,0.9993898718730934,0.9969585911920068,1.0,1.0,1.0,1.0,0.9994848974430515,0.9996581435057997,0.9982931022970085,1.0,0.9994848022311887,0.9996581435057997,0.9982923868666056,1.0,0.00019170122600371543,0.00014687397469970165,0.00032695039881218673,0.0,0.0,1.0,0.0,1000,4096,1234,2.5
simulation 2B,0.9992309396013472,0.9993898718730934,0.9975654290931223,1.0,1.0,1.0,1.0,0.9995690429687498,0.9996581435057997,0.9986340048840049,1.0,0.9995690029046472,0.9996581435057997,0.9986336471688034,1.0,0.00017021879098865611,0.00014395584962585418,0.00022333299966703635,0.0,0.0,1.0,0.0,1000,4096,1234,3.0
simulation 2B,0.9993037286596852,0.9993898718730934,0.9981718464351006,1.0,1.0,1.0,1.0,0.9996098412817648,0.9996581435057997,0.9989751459478022,1.0,0.999609821070856,0.9996581435057997,0.9989749074710013,1.0,0.00019044828151618275,0.0001443298751837574,0.0003177274247718739,0.0,0.0,1.0,0.0,1000,4096,1234,3.5
simulation 2B,0.9993484982190559,0.9993898718730934,0.9987797437461867,1.0,1.0,1.0,1.0,0.9996349369705813,0.9996581435057997,0.9993165254884004,1.0,0.9996349281469398,0.9996581435057997,0.99931640625,1.0,0.0001746498944976338,0.00014345592576319176,0.00022877289925418142,0.0,0.0,1.0,0.0,1000,4096,1234,4.0
simulation 2B,0.9993658530468081,0.9993898718730934,0.9987804692034108,1.0,1.0,1.0,1.0,0.9996446673010148,0.9996581435057997,0.9993165254884004,1.0,0.9996446624122404,0.9996581435057997,0.99931640625,1.0,0.0001984543849639522,0.00014541699965775479,0.0003232163248412689,0.0,0.0,1.0,0.0,1000,4096,1234,4.5
