model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,kdiff,vocab_size,output_tokens,watermark_type,seed,gap,gap_prop
simulation 3,0.9209387723800362,0.9318885448916409,0.8421052631578947,0.9444444444444444,1.0,0.37683333333333324,0.5473913569785739,0.9318366505910924,0.9283243218475073,0.9170627329239981,0.9725110066135142,0.9314928213587487,0.9280875794232649,0.9159258919843597,0.9722574153836755,0.0001226589564794267,7.699687557760626e-05,0.00025529585091135207,0.0,0.997,0.003,1.9011838417154718,1000,1024,gumbel,1234,8,0.30000000000000004
simulation 3,0.8928924595449294,0.9027355623100304,0.817629179331307,0.9270516717325228,1.0,0.3981666666666666,0.569555370127548,0.9297273949169109,0.9227933315004888,0.9127477681298876,0.969943687759653,0.9291511266266496,0.9222835716031281,0.9115213373655914,0.9697278034885142,0.00012749632197301252,7.662397629246698e-05,0.00026526217516220613,0.0,0.993,0.007,1.8521609001379982,1000,1024,gumbel,1234,11,0.3500000000000001
simulation 3,0.8807200880760153,0.8885448916408669,0.8023598820058997,0.9056047197640118,1.0,0.41983333333333334,0.5913839652541378,0.9293518126069159,0.9190837304496579,0.9082814027370479,0.9711521719208212,0.9283991992760263,0.9180756659335289,0.9063760080645161,0.9706856079698192,0.00012997420002648142,7.749792575850734e-05,0.00027925417325604937,0.0,0.9895,0.0105,1.8006943105369106,1000,1024,gumbel,1234,16,0.40000000000000013
simulation 3,0.8436450355374313,0.8459214501510574,0.7874797938573327,0.8879134026682352,1.0,0.42883333333333323,0.6002566196197363,0.9227469748518449,0.9096426716764419,0.9001882484115347,0.9692294511394184,0.9209070881445504,0.9076265426441837,0.8971895428580157,0.968498413443915,0.00013025424695842957,7.741385024928604e-05,0.0002718843751608801,0.0,0.983,0.017,1.7817126592130395,1000,1024,gumbel,1234,23,0.4500000000000001
simulation 3,0.8336508992508812,0.8252688172043011,0.7573614975509376,0.9258300801314977,1.0,0.5928333333333332,0.7443758501621848,0.9402142394840544,0.9583199688416422,0.8917722938813538,0.9910657418438417,0.9378508207707111,0.9570598881964809,0.8871689901790079,0.9909301877138318,0.0001483404979844636,7.662500129299588e-05,0.00032137500238604844,0.0,0.863,0.137,1.392300254973761,1000,1024,gumbel,1234,32,0.5000000000000001
simulation 3,0.904556627261458,0.9153094462540716,0.8,0.9641693811074918,1.0,0.9948333333333333,0.9974099757707412,0.9854251311629398,0.987480335105083,0.9710984275720919,0.9951220559934018,0.9849359774025538,0.9872827315493645,0.9692461567540324,0.9950514151087487,0.00019697498001005443,0.00014237394998417585,0.00037642012466676533,0.0,0.0155,0.9845,0.12449899597988733,1000,1024,gumbel,1234,45,0.5500000000000002
simulation 3,0.9037015934007272,0.9098076537767983,0.8175381866481136,0.958202706323687,1.0,0.9976666666666666,0.9988319706324045,0.9872120811186462,0.9884196679496579,0.9767648765884653,0.9948092314271749,0.986816003406036,0.9881466504765396,0.9756425933987048,0.9947197370631721,0.00020286240544919564,0.00014641595171269728,0.000401184698966972,0.0,0.007,0.993,0.08366600265340755,1000,1024,gumbel,1234,64,0.6000000000000002
simulation 3,0.9135460610583723,0.9218241042345277,0.819507717201892,0.964968152866242,1.0,0.9965,0.9982469321312296,0.9874297056375244,0.9893981396627566,0.9727380597812806,0.9956737231182796,0.9870629763486681,0.9891900354349952,0.9713073432154203,0.9956298589473362,0.00019731479201436742,0.0001450809272682818,0.00039679510191490406,0.0,0.0105,0.9895,0.10246950765959599,1000,1024,gumbel,1234,91,0.6500000000000001
simulation 3,0.9203955814705113,0.9283387622149837,0.8371042653541446,0.9709677419354839,1.0,0.9971666666666668,0.998581323541684,0.9875312671829178,0.9892425387952102,0.9764247025445992,0.9955057123655914,0.9872092325727029,0.9890582997311829,0.9757532322977762,0.9954923956042278,0.00020093831946178396,0.00014587187606593944,0.0003937819500606561,0.0,0.0085,0.9915,0.09219544457292887,1000,1024,gumbel,1234,128,0.7000000000000002
simulation 3,0.9160582448460639,0.9250814332247557,0.8179183826109439,0.9676375404530745,1.0,0.9993333333333333,0.9996665555185061,0.986094300807979,0.9875652950879765,0.9706227471285435,0.994675491049609,0.9857741687286168,0.9873877382697946,0.9687547253024194,0.9946563034579667,0.00020326315756938128,0.00014412292375709512,0.00040329167513846164,0.0,0.002,0.998,0.044721359549995794,1000,1024,gumbel,1234,181,0.7500000000000002
simulation 3,0.9227976853894114,0.9285714285714286,0.8403908794788274,0.9739413680781759,1.0,0.9996666666666666,0.9998333055509251,0.9857835992867181,0.9868665230938416,0.9710678801625122,0.9951357068670577,0.985522751137891,0.9866660557184751,0.9703089202254399,0.9951222946450391,0.0001982723995060951,0.0001431669739758945,0.0003900239510585378,0.0,0.001,0.999,0.03162277660168379,1000,1024,gumbel,1234,256,0.8000000000000003
simulation 3,0.9327855837237456,0.9393937852302559,0.8558536902286903,0.9805194805194806,1.0,0.9998333333333332,0.9999166597216435,0.9862106988483627,0.987893679740958,0.9695953995601173,0.996305672653959,0.9859957663199536,0.9877877184139785,0.968707997311828,0.9962999450146628,0.0001980590799885249,0.00014187397482601227,0.000392553452275024,0.0,0.0005,0.9995,0.022360679774997897,1000,1024,gumbel,1234,307,0.8500000000000003
