model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,vocab_size,output_tokens,watermark_type,seed,ar_coeff
simulation 1,0.9504706626915946,0.984,0.7199,0.996,0.788,1.0,0.8814317673378076,0.9161532064128257,0.9227174348697395,0.781137875751503,0.9964008016032064,0.9142754669338679,0.9179478957915831,0.7744472945891784,0.9964008016032064,9.627904551234678e-05,5.0999999075429514e-05,0.00022369062517100212,0.411,0.0,0.589,1000,500,redgreen,1234,0.7000000000000001
simulation 1,0.9945148330568777,0.996,0.984,0.996,1.0,1.0,1.0,0.9953975030060122,0.9964008016032064,0.989250501002004,0.9964008016032064,0.9953929659318638,0.9964008016032064,0.9892264529058116,0.9964008016032064,8.368619996508641e-05,4.679094990933663e-05,0.00018137780180040838,0.0,0.0,1.0,1000,500,pf,1234,0.7000000000000001
simulation 1,0.9959301274900402,0.996,0.996,0.996,1.0,1.0,1.0,0.9963532384769539,0.9964008016032064,0.9964008016032064,0.9964008016032064,0.9963530220440883,0.9964008016032064,0.9964008016032064,0.9964008016032064,8.185664952543448e-05,4.658092666431912e-05,0.00018305037510799588,0.0,0.0,1.0,1000,500,gumbel,1234,0.8
simulation 1,0.9705692524084854,0.9652509652509652,0.9325038636648427,0.9920634920634921,0.93825,1.0,0.9681413646330453,0.9684769258517034,0.97025250501002,0.8931062124248497,0.9952224448897795,0.9682227535070143,0.9699639278557114,0.8926973947895791,0.9952144288577154,0.000341253919981682,4.6415950691880425e-05,0.00019415624756220477,0.1235,0.0,0.8765,1000,500,inverse,1234,0.8
simulation 1,0.9578516313869634,0.9841897233201581,0.772,0.996,0.8125,1.0,0.896551724137931,0.9259309098196393,0.956689378757515,0.8011849699398798,0.9964008016032064,0.9245526052104209,0.9562404809619238,0.793487374749499,0.9964008016032064,8.663194998371182e-05,4.8081973545777146e-05,0.00016696497596058153,0.3655,0.0,0.6345,1000,500,redgreen,1234,0.8
simulation 1,0.9955247785821696,0.996,0.992,0.996,1.0,1.0,1.0,0.9960905731462927,0.9964008016032064,0.9928176352705411,0.9964008016032064,0.9960891583166332,0.9964008016032064,0.992809619238477,0.9964008016032064,8.604197550630488e-05,4.7539973002130866e-05,0.00020817227368752353,0.0,0.0,1.0,1000,500,pf,1234,0.8
simulation 1,0.9960000159362553,0.996,0.996,0.996,1.0,1.0,1.0,0.9964039078156314,0.9964008016032064,0.9964008016032064,0.9964008016032064,0.9964038517034068,0.9964008016032064,0.9964008016032064,0.9964008016032064,9.360989550441446e-05,4.783400072483346e-05,0.00020238267261447567,0.0,0.0,1.0,1000,500,gumbel,1234,0.9
simulation 1,0.9703089773140862,0.9652509652509652,0.9430985133287766,0.996,0.94425,1.0,0.9713257039989713,0.9687534148296594,0.97025250501002,0.8931062124248497,0.9964008016032064,0.9684990020040082,0.9699639278557114,0.8926973947895791,0.9964008016032064,5.994373050816648e-05,4.204200013191439e-05,9.042012598001745e-05,0.1115,0.0,0.8885,1000,500,inverse,1234,0.9
simulation 1,0.96057922636593,0.9841897233201581,0.788,0.996,0.7985833333333334,1.0,0.8880137144975212,0.9245212224448898,0.95625250501002,0.8014891783567134,0.9964008016032064,0.9233500681362725,0.9552304609218437,0.7976689378757514,0.9964008016032064,6.668652598091284e-05,4.270490126145887e-05,0.0001039211483657709,0.392,0.0,0.608,1000,500,redgreen,1234,0.9
simulation 1,0.9959220000000003,0.996,0.996,0.996,1.0,1.0,1.0,0.9963513226452906,0.9964008016032064,0.9964008016032064,0.9964008016032064,0.996351122244489,0.9964008016032064,0.9964008016032064,0.9964008016032064,6.242917147210391e-05,4.224894801154733e-05,9.116804949371726e-05,0.0,0.0,1.0,1000,500,pf,1234,0.9
simulation 1,0.7521145086047599,0.936,0.0,0.996,0.7566666666666666,0.8705,0.8096015568984943,0.8449008857715431,0.9409939879759519,0.4188376753507014,0.9964008016032064,0.7988927134268536,0.9399038076152305,0.1693386773547094,0.9964008016032064,5.4698647516488565e-05,2.2915999579709023e-05,9.137707238551229e-05,0.2115,0.1295,0.659,1000,500,gumbel,1234,1.0
simulation 1,0.7042833539860887,0.8372068566621096,0.0683453237410072,0.9880478087649402,0.7102,0.9875,0.8262030983094775,0.8423888136272544,0.8692024048096192,0.6147683366733467,0.990436873747495,0.8019802765531062,0.8612905811623247,0.43951102204408815,0.9904288577154309,5.887910400269902e-05,3.841697307507275e-05,0.00010100417284775173,0.4915,0.0055,0.503,1000,500,inverse,1234,1.0
simulation 1,0.247795245818779,0.0,0.0,0.936,0.346,0.446,0.38968686868686864,0.5642800921843688,0.4188376753507014,0.4188376753507014,0.8475835671342684,0.3988048256513025,0.1693386773547094,0.1693386773547094,0.8435468937875751,3.3710250005242414e-05,1.4041997928870842e-05,7.475625161532658e-05,0.1925,0.554,0.2535,1000,500,redgreen,1234,1.0
simulation 1,0.6588252596783006,0.864,0.0,0.984,0.5917083333333334,0.8055,0.682247666477798,0.7850677234468938,0.8378557114228457,0.4188376753507014,0.9892825651302605,0.7192032665330661,0.8315991983967935,0.1693386773547094,0.9892344689378757,5.5223193501660715e-05,2.0166000467725098e-05,9.708612560643813e-05,0.3995,0.1945,0.406,1000,500,pf,1234,1.0
